X,region,date_locality,unique,sample,depth,interval_no,min,median,predicted_age_BP,max,predicted_age_AD_BC,perc_2.5,perc_25,perc_50,perc_75,perc_97.5,time_uncert
474,Gulf of Panama,Saboga,AT19-1-4-122.5,AT19-1-4,122.5,25,2696.975,2757,2785.621,3173.075,-835.621,30.95,69,84,89,394.425,20
475,Gulf of Panama,Saboga,AT19-1-4-127.5,AT19-1-4,127.5,26,2730.975,2845,2883.961,3379.025,-933.961,28,84,88,92,263,8
476,Gulf of Panama,Saboga,AT19-1-4-132.5,AT19-1-4,132.5,27,2764.975,2932,2971.893,3458.95,-1021.893,26.95,83,87,91,188.175,8
477,Gulf of Panama,Saboga,AT19-1-4-137.5,AT19-1-4,137.5,28,2797.95,3019,3055.232,3571.05,-1105.232,23,74.75,87,90,152,15.25
478,Gulf of Panama,Saboga,AT19-1-4-142.5,AT19-1-4,142.5,29,2829.925,3108,3134.26,3611.125,-1184.26,21.975,67,87,90,130,23
479,Gulf of Panama,Saboga,AT19-1-4-147.5,AT19-1-4,147.5,30,2863.925,3196,3212.004,3650.025,-1262.004,21,65.75,86,89,112.025,23.25
480,Gulf of Panama,Saboga,AT19-1-4-152.5,AT19-1-4,152.5,31,2920.925,3283,3289.542,3682,-1339.542,21.975,64,86,89,106.025,25
481,Gulf of Panama,Saboga,AT19-1-4-157.5,AT19-1-4,157.5,32,2973.775,3371,3367.344,3714.025,-1417.344,21.975,64.75,86,89,107.1,24.25
482,Gulf of Panama,Saboga,AT19-1-4-162.5,AT19-1-4,162.5,33,3016.95,3458,3445.132,3753.05,-1495.132,22,65,86,89,106.025,24
483,Gulf of Panama,Saboga,AT19-1-4-167.5,AT19-1-4,167.5,34,3083.825,3546,3525.584,3787.025,-1575.584,23,67,86,90,137.05,23
484,Gulf of Panama,Saboga,AT19-1-4-172.5,AT19-1-4,172.5,35,3142.8,3634,3606.949,3815,-1656.949,23,70,87,90,148,20
485,Gulf of Panama,Saboga,AT19-1-4-177.5,AT19-1-4,177.5,36,3259.525,3722,3691.883,3845.025,-1741.883,24.975,76.75,87,90,172.075,13.25
486,Gulf of Panama,Saboga,AT19-1-4-182.5,AT19-1-4,182.5,37,3447.825,3809,3785.279,3873.025,-1835.279,26,83,88,91,253.025,8
487,Gulf of Panama,Saboga,AT19-1-4-187.5,AT19-1-4,187.5,38,3799.9,3893,3883.46,3917,-1933.46,24.975,62,84,89,382.15,27
488,Gulf of Panama,Saboga,AT19-1-4-192.5,AT19-1-4,192.5,39,3893,3907,3910.982,3968.025,-1960.982,3.975,9,15,33,120.025,24
489,Gulf of Panama,Saboga,AT19-1-4-197.5,AT19-1-4,197.5,40,3899,3916,3921.628,3984,-1971.628,3,9,10,10,30,1
490,Gulf of Panama,Saboga,AT19-1-4-202.5,AT19-1-4,202.5,41,3904,3926,3931.444,3998,-1981.444,3,8,10,10,23.025,2
491,Gulf of Panama,Saboga,AT19-1-4-207.5,AT19-1-4,207.5,42,3909,3936,3940.724,4010,-1990.724,2,7,9,10,21,3
492,Gulf of Panama,Saboga,AT19-1-4-212.5,AT19-1-4,212.5,43,3912,3945,3949.722,4016.05,-1999.722,2,7,9,10,18,3
493,Gulf of Panama,Saboga,AT19-1-4-217.5,AT19-1-4,217.5,44,3915.975,3955,3958.272,4024,-2008.272,2,6,9,10,16,4
494,Gulf of Panama,Saboga,AT19-1-4-222.5,AT19-1-4,222.5,45,3919,3965,3966.824,4034,-2016.824,2,6,9,10,14.025,4
495,Gulf of Panama,Saboga,AT19-1-4-227.5,AT19-1-4,227.5,46,3923.95,3974,3975.249,4036.05,-2025.249,2,6,9,10,14,4
496,Gulf of Panama,Saboga,AT19-1-4-232.5,AT19-1-4,232.5,47,3927,3984,3983.575,4042.025,-2033.575,2,6,9,10,13,4
497,Gulf of Panama,Saboga,AT19-1-4-237.5,AT19-1-4,237.5,48,3931.975,3994,3991.92,4046,-2041.92,2,6,9,10,13,4
498,Gulf of Panama,Saboga,AT19-1-4-242.5,AT19-1-4,242.5,49,3938,4003,4000.261,4049.025,-2050.261,2,6,9,10,13,4
499,Gulf of Panama,Saboga,AT19-1-4-247.5,AT19-1-4,247.5,50,3944,4013,4008.768,4053,-2058.768,2,6,9,10,14,4
500,Gulf of Panama,Saboga,AT19-1-4-252.5,AT19-1-4,252.5,51,3951,4022.5,4017.372,4057,-2067.372,2,6.75,9,10,15,3.25
501,Gulf of Panama,Saboga,AT19-1-4-257.5,AT19-1-4,257.5,52,3958.975,4032,4026.303,4060,-2076.303,2,7,9,10,19,3
502,Gulf of Panama,Saboga,AT19-1-4-262.5,AT19-1-4,262.5,53,3970,4042,4035.609,4063.025,-2085.609,2,7,9,10,21.025,3
503,Gulf of Panama,Saboga,AT19-1-4-267.5,AT19-1-4,267.5,54,3977,4051,4045.434,4068,-2095.434,3,8,10,10,25,2
504,Gulf of Panama,Saboga,AT19-1-4-272.5,AT19-1-4,272.5,55,4000,4061,4056.457,4074,-2106.457,3,9,10,10,33.025,1
505,Gulf of Panama,Saboga,AT19-1-4-277.5,AT19-1-4,277.5,56,4055,4075,4087.234,4208.075,-2137.234,4,10,16,34,146.025,24
506,Gulf of Panama,Saboga,AT19-1-4-282.5,AT19-1-4,282.5,57,4091,4158,4197.26,4681.15,-2247.26,25.95,62,84,88,505.575,26
507,Gulf of Panama,Saboga,AT19-1-4-287.5,AT19-1-4,287.5,58,4124,4245.5,4290.599,4873.025,-2340.599,25.975,82,87,90.25,269.2,8.25
508,Gulf of Panama,Saboga,AT19-1-4-292.5,AT19-1-4,292.5,59,4154.975,4333,4376.139,4955.25,-2426.139,24,74.75,87,90,198.075,15.25
509,Gulf of Panama,Saboga,AT19-1-4-297.5,AT19-1-4,297.5,60,4186.95,4421,4456.692,5024.225,-2506.692,19,67,87,90,141.075,23
510,Gulf of Panama,Saboga,AT19-1-4-302.5,AT19-1-4,302.5,61,4216.975,4509,4535.302,5081,-2585.302,19,63,86,89,125.025,26
511,Gulf of Panama,Saboga,AT19-1-4-307.5,AT19-1-4,307.5,62,4245.95,4596.5,4612.789,5112.15,-2662.789,18.975,60,86,89,122.025,29
512,Gulf of Panama,Saboga,AT19-1-4-312.5,AT19-1-4,312.5,63,4277.875,4684,4690.859,5149.025,-2740.859,19,60,86,89,123.025,29
513,Gulf of Panama,Saboga,AT19-1-4-317.5,AT19-1-4,317.5,64,4319.975,4772.5,4769.04,5186.3,-2819.04,19,60,86,89,130.05,29
514,Gulf of Panama,Saboga,AT19-1-4-322.5,AT19-1-4,322.5,65,4354.95,4860,4845.787,5225.025,-2895.787,19.975,60,86,89,124,29
515,Gulf of Panama,Saboga,AT19-1-4-327.5,AT19-1-4,327.5,66,4404,4947,4923.255,5251.075,-2973.255,20,61,86,89,124.025,28
516,Gulf of Panama,Saboga,AT19-1-4-332.5,AT19-1-4,332.5,67,4468.875,5035,5001.625,5281.025,-3051.625,21,63.75,86,89,134.025,25.25
517,Gulf of Panama,Saboga,AT19-1-4-337.5,AT19-1-4,337.5,68,4540,5124,5082.764,5307.025,-3132.764,22,70,87,90,156.075,20
518,Gulf of Panama,Saboga,AT19-1-4-342.5,AT19-1-4,342.5,69,4628.8,5212,5169.497,5334,-3219.497,22,80,87,90,213.025,10
519,Gulf of Panama,Saboga,AT19-1-4-347.5,AT19-1-4,347.5,70,4816.75,5300,5264.687,5361.025,-3314.687,24,84,87,91,263.225,7
520,Gulf of Panama,Saboga,AT19-1-4-352.5,AT19-1-4,352.5,71,5270.875,5386,5375.843,5424.15,-3425.843,27,73,85,89,473.125,16
521,Gulf of Panama,Saboga,AT19-1-4-357.5,AT19-1-4,357.5,72,5401,5432,5437.34,5546.025,-3487.34,21,43,47,60,188.025,17
522,Gulf of Panama,Saboga,AT19-1-4-362.5,AT19-1-4,362.5,73,5420,5478,5481.978,5587.05,-3531.978,17,42,45,48,75,6
523,Gulf of Panama,Saboga,AT19-1-4-367.5,AT19-1-4,367.5,74,5440.975,5522,5524.923,5620.025,-3574.923,15,42,45,47,55,5
524,Gulf of Panama,Saboga,AT19-1-4-372.5,AT19-1-4,372.5,75,5466.95,5568,5567.432,5642.025,-3617.432,15.975,41,45,47,52,6
525,Gulf of Panama,Saboga,AT19-1-4-377.5,AT19-1-4,377.5,76,5494.875,5613,5610.084,5664.025,-3660.084,15.975,41,45,47,53,6
526,Gulf of Panama,Saboga,AT19-1-4-382.5,AT19-1-4,382.5,77,5544.825,5659,5654.244,5689,-3704.244,17.975,42,45,48,76,6
527,Gulf of Panama,Saboga,AT19-1-4-387.5,AT19-1-4,387.5,78,5669,5703,5709.477,5797,-3759.477,20,40,44,48,180.025,8
528,Gulf of Panama,Saboga,AT19-1-4-392.5,AT19-1-4,392.5,79,5696,5731,5786.285,6263.05,-3836.285,2,15.75,31,81,456.025,65.25
529,Gulf of Panama,Saboga,AT19-1-4-397.5,AT19-1-4,397.5,80,5700,5757.5,5844.734,6457.225,-3894.734,1,10,26,73,295.05,63
530,Gulf of Panama,Saboga,AT19-1-4-402.5,AT19-1-4,402.5,81,5702,5784,5896.612,6636.5,-3946.612,1,10,24,66,253.35,56
531,Gulf of Panama,Saboga,AT19-1-4-406,AT19-1-4,406,82,5704,5802,5928.689,6760.325,-3978.689,1,7,16,39,145.05,32
532,Gulf of Panama,Isla Iguana,JC22-2-1-2.5,JC22-2-1,2.5,1,-72,-71,-67.856,-49.975,2017.856,NA,NA,NA,NA,NA,NA
533,Gulf of Panama,Isla Iguana,JC22-2-1-7.5,JC22-2-1,7.5,2,-65,-49,-45.913,-7.975,1995.913,6,16,21,23,56.025,7
534,Gulf of Panama,Isla Iguana,JC22-2-1-12.5,JC22-2-1,12.5,3,-56,-25,-25.847,4.025,1975.847,6,15,22,24,32,9
535,Gulf of Panama,Isla Iguana,JC22-2-1-17.5,JC22-2-1,17.5,4,-43.025,-2,-5.537,12,1955.537,6,16,22,24,34.025,8
536,Gulf of Panama,Isla Iguana,JC22-2-1-22.5,JC22-2-1,22.5,5,15,19,20.198,24.025,1929.802,7,18,21,26,63,8
537,Gulf of Panama,Isla Iguana,JC22-2-1-27.5,JC22-2-1,27.5,6,18,21,28.282,36.05,1921.718,1,2,2,4,26.075,2
538,Gulf of Panama,Isla Iguana,JC22-2-1-32.5,JC22-2-1,32.5,7,19,23,34.296,40,1915.704,0,1,2,3,11.025,2
539,Gulf of Panama,Isla Iguana,JC22-2-1-37.5,JC22-2-1,37.5,8,20,25,39.597,43,1910.403,0,1,2,2,11,1
540,Gulf of Panama,Isla Iguana,JC22-2-1-42.5,JC22-2-1,42.5,9,21,27,43.629,43.175,1906.371,0,1,2,2,10,1
541,Gulf of Panama,Isla Iguana,JC22-2-1-47.5,JC22-2-1,47.5,10,22,29,48.048,44.275,1901.952,0,1,2,2,12.05,1
542,Gulf of Panama,Isla Iguana,JC22-2-1-52.5,JC22-2-1,52.5,11,22,31,51.486,44.4,1898.514,0,1,2,2,13,1
543,Gulf of Panama,Isla Iguana,JC22-2-1-57.5,JC22-2-1,57.5,12,23,33,55.217,45.5,1894.783,0,1,1,2,10.025,1
544,Gulf of Panama,Isla Iguana,JC22-2-1-62.5,JC22-2-1,62.5,13,25,35,58.886,45.65,1891.114,0,1,1,2,8.025,1
545,Gulf of Panama,Isla Iguana,JC22-2-1-67.5,JC22-2-1,67.5,14,26,37,63.333,47.675,1886.667,0,1,2,2,11.025,1
546,Gulf of Panama,Isla Iguana,JC22-2-1-72.5,JC22-2-1,72.5,15,28,39,67.9,48.7,1882.1,0,1,2,2,10.05,1
547,Gulf of Panama,Isla Iguana,JC22-2-1-77.5,JC22-2-1,77.5,16,30,41,73.353,50.675,1876.647,0,1,2,2,10.025,1
548,Gulf of Panama,Isla Iguana,JC22-2-1-82.5,JC22-2-1,82.5,17,37,43,80.189,52.675,1869.811,1,1,2,3,15,2
549,Gulf of Panama,Isla Iguana,JC22-2-1-87.5,JC22-2-1,87.5,18,89.925,255.5,444.215,2058.6,1505.785,45,122,206,423.75,1699.1,301.75
550,Gulf of Panama,Isla Iguana,JC22-2-1-92.5,JC22-2-1,92.5,19,161.925,542,771.565,2661.8,1178.435,57,154,259.5,390.75,1129.15,236.75
551,Gulf of Panama,Isla Iguana,JC22-2-1-97.5,JC22-2-1,97.5,20,235.85,818.5,1040.841,2873.175,909.159,49.975,136,228,307.25,888,171.25
552,Gulf of Panama,Isla Iguana,JC22-2-1-102.5,JC22-2-1,102.5,21,305.925,1090,1281,3104.1,669,47,123,199,280,750.75,157
553,Gulf of Panama,Isla Iguana,JC22-2-1-107.5,JC22-2-1,107.5,22,394.775,1363,1510.782,3255.2,439.218,44,116,186.5,278,750.25,162
554,Gulf of Panama,Isla Iguana,JC22-2-1-112.5,JC22-2-1,112.5,23,493.6,1639,1728.413,3398.1,221.587,42.975,112.75,179,276,644.575,163.25
555,Gulf of Panama,Isla Iguana,JC22-2-1-117.5,JC22-2-1,117.5,24,585.65,1910,1946.19,3547.45,3.81,42.975,112.75,177.5,276,671.225,163.25
556,Gulf of Panama,Isla Iguana,JC22-2-1-122.5,JC22-2-1,122.5,25,705.75,2181.5,2162.691,3637.375,-212.691,42,112,177,276.25,715.925,164.25
557,Gulf of Panama,Isla Iguana,JC22-2-1-127.5,JC22-2-1,127.5,26,809.875,2461.5,2393.259,3746.05,-443.259,43,115,186,278,785.475,163
558,Gulf of Panama,Isla Iguana,JC22-2-1-132.5,JC22-2-1,132.5,27,958.775,2738.5,2624.995,3814.05,-674.995,40,119,186.5,279,779.1,160
559,Gulf of Panama,Isla Iguana,JC22-2-1-137.5,JC22-2-1,137.5,28,1167.575,3014,2855.155,3897.1,-905.155,41.975,122,192.5,280,720.35,158
560,Gulf of Panama,Isla Iguana,JC22-2-1-142.5,JC22-2-1,142.5,29,1453.825,3294.5,3102.794,3957.075,-1152.794,42,129,205,282,795.15,153
561,Gulf of Panama,Isla Iguana,JC22-2-1-147.5,JC22-2-1,147.5,30,1632.625,3571.5,3359.175,4017.025,-1409.175,42.975,133,217,300.25,786.1,167.25
562,Gulf of Panama,Isla Iguana,JC22-2-1-152.5,JC22-2-1,152.5,31,2284.525,3848,3655.843,4076.075,-1705.843,50,154,252,350.25,909.025,196.25
563,Gulf of Panama,Isla Iguana,JC22-2-1-157.5,JC22-2-1,157.5,32,4013,4135,4122.103,4173,-2172.103,59.975,180.75,279,560.75,1791.025,380
564,Gulf of Panama,Isla Iguana,JC22-2-1-162.5,JC22-2-1,162.5,33,4151.975,4204,4238.409,4520.05,-2288.409,17,54,74,135,408.025,81
565,Gulf of Panama,Isla Iguana,JC22-2-1-167.5,JC22-2-1,167.5,34,4165.975,4270,4303.536,4595.025,-2353.536,13,39,63,73,180.025,34
566,Gulf of Panama,Isla Iguana,JC22-2-1-172.5,JC22-2-1,172.5,35,4182.95,4337,4362.388,4638.1,-2412.388,11,34,55,68,159.15,34
567,Gulf of Panama,Isla Iguana,JC22-2-1-177.5,JC22-2-1,177.5,36,4198.95,4404,4417.495,4689.05,-2467.495,11,31,51,67,152,36
568,Gulf of Panama,Isla Iguana,JC22-2-1-182.5,JC22-2-1,182.5,37,4218.95,4470,4469.822,4720.075,-2519.822,11,31,48,67,127.025,36
569,Gulf of Panama,Isla Iguana,JC22-2-1-187.5,JC22-2-1,187.5,38,4251.825,4536,4523.724,4752.05,-2573.724,11,31,48,67,149.025,36
570,Gulf of Panama,Isla Iguana,JC22-2-1-192.5,JC22-2-1,192.5,39,4297.975,4601,4579.295,4774.05,-2629.295,11,32,50,67,163.025,35
571,Gulf of Panama,Isla Iguana,JC22-2-1-197.5,JC22-2-1,197.5,40,4354.775,4666,4636.01,4795,-2686.01,11.975,32,52,67,152.075,35
572,Gulf of Panama,Isla Iguana,JC22-2-1-202.5,JC22-2-1,202.5,41,4402.775,4732.5,4695.376,4814.075,-2745.376,12.975,35,57,68,146.05,33
573,Gulf of Panama,Isla Iguana,JC22-2-1-208.5,JC22-2-1,208.5,42,4570.875,4813.5,4789.935,4841.025,-2839.935,19,54,80,113,271.15,59
574,Gulf of Panama,Isla Iguana,JC22-2-2-2.5,JC22-2-2,2.5,1,-72,-72,-70.934,-66,2020.934,NA,NA,NA,NA,NA,NA
575,Gulf of Panama,Isla Iguana,JC22-2-2-7.5,JC22-2-2,7.5,2,-71,-68,-66.743,-58,2016.743,1,3,4,5,11,2
576,Gulf of Panama,Isla Iguana,JC22-2-2-12.5,JC22-2-2,12.5,3,-69,-64,-63.344,-56,2013.344,1,2,4,4,7,2
577,Gulf of Panama,Isla Iguana,JC22-2-2-17.5,JC22-2-2,17.5,4,-67.025,-60,-60.125,-54,2010.125,1,2,3,4,6,2
578,Gulf of Panama,Isla Iguana,JC22-2-2-22.5,JC22-2-2,22.5,5,-65,-56,-56.832,-53,2006.832,1,2,3,4,7,2
579,Gulf of Panama,Isla Iguana,JC22-2-2-27.5,JC22-2-2,27.5,6,-55,-52,-50.876,-40,2000.876,1,4,5,7,18.025,3
580,Gulf of Panama,Isla Iguana,JC22-2-2-32.5,JC22-2-2,32.5,7,-50.025,-42,-38.181,-4.95,1988.181,2,6,9,15,41.025,9
581,Gulf of Panama,Isla Iguana,JC22-2-2-37.5,JC22-2-2,37.5,8,-48,-33,-29.421,5,1979.421,2,5,9,10,22.025,5
582,Gulf of Panama,Isla Iguana,JC22-2-2-42.5,JC22-2-2,42.5,9,-46,-24,-21.251,12,1971.251,2,5,7,10,24.025,5
583,Gulf of Panama,Isla Iguana,JC22-2-2-47.5,JC22-2-2,47.5,10,-43,-15,-13.863,17,1963.863,2,4,7,9,21,5
584,Gulf of Panama,Isla Iguana,JC22-2-2-52.5,JC22-2-2,52.5,11,-38,-6,-6.504,20.025,1956.504,2,4,7,9,23,5
585,Gulf of Panama,Isla Iguana,JC22-2-2-57.5,JC22-2-2,57.5,12,-33,3,0.82,23.025,1949.18,1,4,7,9,21.025,5
586,Gulf of Panama,Isla Iguana,JC22-2-2-62.5,JC22-2-2,62.5,13,-27,12.5,8.663,26,1941.337,2,4,7,9,22,5
587,Gulf of Panama,Isla Iguana,JC22-2-2-67.5,JC22-2-2,67.5,14,-15.025,22,17.687,29,1932.313,2,5,9,10,26,5
588,Gulf of Panama,Isla Iguana,JC22-2-2-72.5,JC22-2-2,72.5,15,27,56,118.823,627.55,1831.177,4,15.75,39,86,623.525,70.25
589,Gulf of Panama,Isla Iguana,JC22-2-2-77.5,JC22-2-2,77.5,16,118.9,397,612.194,2172.55,1337.806,75.975,204,323.5,632,1850.575,428
590,Gulf of Panama,Isla Iguana,JC22-2-2-82.5,JC22-2-2,82.5,17,194.85,721.5,952.979,2683,997.021,61,171,280.5,395,1043.025,224
591,Gulf of Panama,Isla Iguana,JC22-2-2-87.5,JC22-2-2,87.5,18,278.875,1054.5,1257.539,3039.125,692.461,54.975,158,255,353.25,922.3,195.25
592,Gulf of Panama,Isla Iguana,JC22-2-2-92.5,JC22-2-2,92.5,19,362.85,1373.5,1548.594,3387,401.406,53,141.75,234,329,1024.425,187.25
593,Gulf of Panama,Isla Iguana,JC22-2-2-97.5,JC22-2-2,97.5,20,450.6,1696,1814.647,3577.575,135.353,51.975,133,216,325,872.325,192
594,Gulf of Panama,Isla Iguana,JC22-2-2-102.5,JC22-2-2,102.5,21,577.75,2017,2083.686,3715,-133.686,49,132.75,211,325,920.275,192.25
595,Gulf of Panama,Isla Iguana,JC22-2-2-107.5,JC22-2-2,107.5,22,743.975,2341.5,2352.842,3904.175,-402.842,48,133.75,213.5,325,917.325,191.25
596,Gulf of Panama,Isla Iguana,JC22-2-2-112.5,JC22-2-2,112.5,23,881.825,2660,2615.25,4035.2,-665.25,48,133,213,325,843.1,192
597,Gulf of Panama,Isla Iguana,JC22-2-2-117.5,JC22-2-2,117.5,24,1011.95,2983.5,2873.234,4141.7,-923.234,52,130,206,325,795.275,195
598,Gulf of Panama,Isla Iguana,JC22-2-2-122.5,JC22-2-2,122.5,25,1261,3305,3136.954,4248.1,-1186.954,51,131,216,326,799.3,195
599,Gulf of Panama,Isla Iguana,JC22-2-2-127.5,JC22-2-2,127.5,26,1557.65,3623.5,3412.859,4337.125,-1462.859,55,146,227,328,863.2,182
600,Gulf of Panama,Isla Iguana,JC22-2-2-132.5,JC22-2-2,132.5,27,1976.45,3948,3720.579,4414.025,-1770.579,59.975,159,249,350.75,954.175,191.75
601,Gulf of Panama,Isla Iguana,JC22-2-2-138.5,JC22-2-2,138.5,28,2672,4344,4161.886,4502.025,-2211.886,81,217,383,537.5,1352.325,320.5
602,Gulf of Panama,Isla Iguana,JC22-2-3-2.5,JC22-2-3,2.5,1,-72,-71,-69.134,-58,2019.134,NA,NA,NA,NA,NA,NA
603,Gulf of Panama,Isla Iguana,JC22-2-3-7.5,JC22-2-3,7.5,2,-65,-55,-53.746,-28,2003.746,6,13,15,16,34,3
604,Gulf of Panama,Isla Iguana,JC22-2-3-12.5,JC22-2-3,12.5,3,-58,-38,-38.504,-20,1988.504,5,14,16,17,20,3
605,Gulf of Panama,Isla Iguana,JC22-2-3-17.5,JC22-2-3,17.5,4,-48,-21,-22.854,-13,1972.854,5,15,16,18,21,3
606,Gulf of Panama,Isla Iguana,JC22-2-3-22.5,JC22-2-3,22.5,5,-11,-4,1.826,68,1948.174,9,16,18,23,91.025,7
607,Gulf of Panama,Isla Iguana,JC22-2-3-27.5,JC22-2-3,27.5,6,0,20,34.743,160.025,1915.257,7,19,24,33.25,122.025,14.25
608,Gulf of Panama,Isla Iguana,JC22-2-3-32.5,JC22-2-3,32.5,7,7,45,61.687,230.025,1888.313,6.975,16,24,27,85.025,11
609,Gulf of Panama,Isla Iguana,JC22-2-3-37.5,JC22-2-3,37.5,8,15,69,85.822,257.025,1864.178,6,15,24,25,66.025,10
610,Gulf of Panama,Isla Iguana,JC22-2-3-42.5,JC22-2-3,42.5,9,22,93,108.748,282,1841.252,5.975,14,23,24,62.025,10
611,Gulf of Panama,Isla Iguana,JC22-2-3-47.5,JC22-2-3,47.5,10,30,116,129.851,299.025,1820.149,5.975,13,22,24,50.025,11
612,Gulf of Panama,Isla Iguana,JC22-2-3-52.5,JC22-2-3,52.5,11,40,141,150.567,311.025,1799.433,5,13,20,24,46.025,11
613,Gulf of Panama,Isla Iguana,JC22-2-3-57.5,JC22-2-3,57.5,12,48.975,165,170.496,320.025,1779.504,5,12,20,24,47,12
614,Gulf of Panama,Isla Iguana,JC22-2-3-62.5,JC22-2-3,62.5,13,58,189,190.582,329.025,1759.418,5,12,20,24,51.025,12
615,Gulf of Panama,Isla Iguana,JC22-2-3-67.5,JC22-2-3,67.5,14,68,212,209.915,338.025,1740.085,5,12,19,24,43,12
616,Gulf of Panama,Isla Iguana,JC22-2-3-72.5,JC22-2-3,72.5,15,81.95,236,229.578,347,1720.422,5,12,20,24,48.025,12
617,Gulf of Panama,Isla Iguana,JC22-2-3-77.5,JC22-2-3,77.5,16,94.975,260,249.214,355,1700.786,5,12,20,24,44,12
618,Gulf of Panama,Isla Iguana,JC22-2-3-82.5,JC22-2-3,82.5,17,105,284,269.817,363.025,1680.183,5,12,22,24,45.025,12
619,Gulf of Panama,Isla Iguana,JC22-2-3-87.5,JC22-2-3,87.5,18,119.925,308,291.266,373,1658.734,5,13,23,24,52,11
620,Gulf of Panama,Isla Iguana,JC22-2-3-92.5,JC22-2-3,92.5,19,148.975,332,314.629,380,1635.371,5,14,24,25,60.05,11
621,Gulf of Panama,Isla Iguana,JC22-2-3-97.5,JC22-2-3,97.5,20,180.975,356,339.507,386,1610.493,5.975,16,24,25,66.05,9
622,Gulf of Panama,Isla Iguana,JC22-2-3-102.5,JC22-2-3,102.5,21,253.925,380,369.227,393,1580.773,6,17.75,24,32,105.025,14.25
623,Gulf of Panama,Isla Iguana,JC22-2-3-107.5,JC22-2-3,107.5,22,458.975,601,711.976,2064.925,1238.024,88.975,186,229,277.25,1690.725,91.25
624,Gulf of Panama,Isla Iguana,JC22-2-3-112.5,JC22-2-3,112.5,23,622.875,1126.5,1273.836,3104.125,676.164,150.975,451.5,525,534,1547.425,82.5
625,Gulf of Panama,Isla Iguana,JC22-2-3-117.5,JC22-2-3,117.5,24,783.9,1653,1759.098,3582.375,190.902,145.925,363.5,524,531,978.175,167.5
626,Gulf of Panama,Isla Iguana,JC22-2-3-122.5,JC22-2-3,122.5,25,951.75,2180,2214.405,3884.225,-264.405,129.95,331.75,522,529,787.125,197.25
627,Gulf of Panama,Isla Iguana,JC22-2-3-127.5,JC22-2-3,127.5,26,1159.825,2707.5,2667.807,4067.45,-717.807,117.925,320.75,522,529,729.1,208.25
628,Gulf of Panama,Isla Iguana,JC22-2-3-132.5,JC22-2-3,132.5,27,1393.65,3234,3124.174,4256.15,-1174.174,118.9,334,522,529,724.1,195
629,Gulf of Panama,Isla Iguana,JC22-2-3-137.5,JC22-2-3,137.5,28,1742.475,3760,3601.563,4417.05,-1651.563,134.95,371.75,524,531,907,159.25
630,Gulf of Panama,Isla Iguana,JC22-2-3-143.5,JC22-2-3,143.5,29,2778.225,4391,4261.212,4611.05,-2311.212,174.85,573.75,631,642,1574.525,68.25
